model,uses_FRED,n,MAPE_%,RMSE_USD_bn,sMAPE_%,bias_USD_bn,avg_fit_pred_ms
sarima_walmart_only,False,36,1.73,3.79,1.73,-0.06,11.59
ridge_walmart_plus_fred,True,36,2.01,4.11,2.03,-1.47,0.61
seasonal_naive_drift,False,36,2.03,3.94,2.03,-0.13,0.16
ols_walmart_plus_fred,True,36,2.05,4.24,2.07,-1.16,0.55
ols_walmart_only,False,36,2.1,4.04,2.11,-1.21,0.79
gbr_walmart_plus_fred,True,36,3.28,6.18,3.31,-1.65,35.44
seasonal_naive,False,36,4.08,7.24,4.2,-6.13,0.0
